Codice.comune,Comune,Popolazione.censita.al.1..gennaio,Nati.vivi,Morti,Saldo.naturale,Immigrati.da.altro.comune,Emigrati.per.altro.comune,Saldo.migratorio.interno,Immigrati.dall.estero,Emigrati.per.l.estero,Saldo.migratorio.con.l.estero,Unità.in.più.meno.dovute.a.variazioni.territoriali,Aggiustamento.statistico,Saldo.totale,Popolazione.censita.al.31.dicembre,Numero.di.famiglie.al.31.dicembre,Popolazione.censita.al.31.dicembre.residente.in.famiglia,Numero.medio.di.componenti.per.famiglia.al.31.dicembre,Numero.di.convivenze.al.31.dicembre,Popolazione.censita.al.31.dicembre.residente.in.convivenza,year
7045,Nus,2950,22,30,-8,113,95,18,12,5,7,0,17,34,2984,1388,2975,2.1,3,9,2020
7046,Ollomont,165,1,3,-2,3,3,0,0,1,-1,0,-1,-4,161,94,161,1.7,0,0,2020
7047,Oyace,217,1,1,0,0,2,-2,0,0,0,0,-6,-8,209,101,209,2.1,0,0,2020
7048,Perloz,457,7,7,0,11,18,-7,0,1,-1,0,3,-5,452,221,444,2,2,8,2020
7049,Pollein,1536,5,12,-7,45,57,-12,2,6,-4,0,7,-16,1520,687,1520,2.2,0,0,2020
7050,Pontboset,173,1,2,-1,9,8,1,1,1,0,0,-3,-3,170,91,170,1.9,0,0,2020
7051,Pontey,801,8,14,-6,31,23,8,5,1,4,0,-9,-3,798,362,786,2.2,2,12,2020
7052,Pont-Saint-Martin,3592,16,63,-47,112,128,-16,21,2,19,0,23,-21,3571,1693,3565,2.1,1,6,2020
7053,Pré-Saint-Didier,1031,7,20,-13,43,49,-6,6,7,-1,0,-15,-35,996,505,993,2,1,3,2020
7054,Quart,4045,40,51,-11,172,144,28,5,13,-8,0,47,56,4101,1871,4092,2.2,1,9,2020
7055,Rhêmes-Notre-Dame,85,0,1,-1,2,3,-1,1,0,1,0,-1,-2,83,44,80,1.8,1,3,2020
7056,Rhêmes-Saint-Georges,174,0,4,-4,10,3,7,0,0,0,0,-5,-2,172,85,172,2,0,0,2020
7057,Roisan,1038,9,17,-8,44,46,-2,10,5,5,0,-18,-23,1015,455,1007,2.2,1,8,2020
7058,Saint-Christophe,3446,23,39,-16,147,165,-18,10,12,-2,0,61,25,3471,1611,3427,2.1,3,44,2020
7059,Saint-Denis,382,0,6,-6,9,10,-1,1,3,-2,0,-7,-16,366,178,366,2.1,0,0,2020
7060,Saint-Marcel,1365,4,21,-17,48,67,-19,6,5,1,0,-19,-54,1311,597,1311,2.2,0,0,2020
7061,Saint-Nicolas,320,2,2,0,14,9,5,4,0,4,0,-9,0,320,160,320,2,0,0,2020
7062,Saint-Oyen,199,1,2,-1,4,6,-2,0,1,-1,0,-1,-5,194,90,177,2,1,17,2020
7063,Saint-Pierre,3195,23,45,-22,154,137,17,13,9,4,0,26,25,3220,1534,3198,2.1,3,22,2020
7064,Saint-Rhémy-en-Bosses,329,2,5,-3,19,15,4,3,0,3,0,0,4,333,181,309,1.7,3,24,2020
7065,Saint-Vincent,4432,26,92,-66,167,124,43,15,19,-4,0,60,33,4465,2373,4451,1.9,1,14,2020
7066,Sarre,4817,37,60,-23,194,215,-21,8,12,-4,0,24,-24,4793,2221,4751,2.1,5,42,2020
7067,Torgnon,567,7,6,1,16,20,-4,2,4,-2,0,-7,-12,555,290,555,1.9,0,0,2020
7068,Valgrisenche,196,2,5,-3,8,5,3,0,1,-1,0,-3,-4,192,114,192,1.7,0,0,2020
7069,Valpelline,618,2,4,-2,14,26,-12,4,3,1,0,-11,-24,594,304,592,2,1,2,2020
7070,Valsavarenche,175,0,5,-5,5,4,1,1,0,1,0,-4,-7,168,105,168,1.6,0,0,2020
7071,Valtournenche,2255,11,21,-10,83,70,13,10,10,0,0,15,18,2273,1221,2257,1.8,4,16,2020
7072,Verrayes,1264,8,18,-10,43,34,9,3,6,-3,0,7,3,1267,627,1267,2,0,0,2020
7073,Verrès,2577,14,44,-30,102,81,21,17,17,0,0,22,13,2590,1287,2569,2,4,21,2020
7074,Villeneuve,1259,6,13,-7,49,33,16,6,4,2,0,-23,-12,1247,583,1231,2.1,1,16,2020
7001,Allein,208,0,4,-4,11,6,5,2,0,2,0,0,3,211,123,211,1.7,0,0,2021
7002,Antey-Saint-André,546,1,12,-11,12,7,5,1,0,1,0,1,-4,542,277,537,1.9,2,5,2021
7003,Aosta,33523,174,474,-300,1036,980,56,180,120,60,0,-116,-300,33223,16503,32925,2,30,298,2021
7004,Arnad,1227,12,17,-5,47,26,21,2,0,2,0,4,22,1249,599,1237,2.1,1,12,2021
7005,Arvier,852,8,10,-2,15,28,-13,3,5,-2,0,-2,-19,833,409,833,2,0,0,2021
7006,Avise,298,3,4,-1,5,2,3,1,0,1,0,-2,1,299,138,299,2.2,0,0,2021
7007,Ayas,1399,20,16,4,19,37,-18,6,3,3,0,-29,-40,1359,661,1359,2.1,0,0,2021
7008,Aymavilles,2098,17,14,3,107,93,14,5,7,-2,0,1,16,2114,985,2106,2.1,1,8,2021
7009,Bard,112,0,3,-3,0,1,-1,0,0,0,0,0,-4,108,54,108,2,0,0,2021
7010,Bionaz,218,1,3,-2,3,2,1,1,0,1,0,0,0,218,115,218,1.9,0,0,2021
7011,Brissogne,942,7,8,-1,54,49,5,2,1,1,0,1,6,948,416,918,2.2,2,30,2021
7012,Brusson,863,2,12,-10,32,21,11,8,11,-3,0,0,-2,861,424,844,2,3,17,2021
7013,Challand-Saint-Anselme,736,14,13,1,20,23,-3,7,1,6,0,2,6,742,353,738,2.1,1,4,2021
7014,Challand-Saint-Victor,536,2,7,-5,40,27,13,4,0,4,0,-1,11,547,283,547,1.9,0,0,2021
7015,Chambave,872,4,13,-9,39,21,18,9,3,6,0,-1,14,886,447,886,2,0,0,2021
7016,Chamois,108,0,2,-2,10,7,3,0,0,0,0,0,1,109,69,109,1.6,0,0,2021
7017,Champdepraz,700,3,3,0,37,19,18,2,2,0,0,-1,17,717,355,717,2,0,0,2021
7018,Champorcher,380,0,6,-6,11,9,2,4,2,2,0,-4,-6,374,229,374,1.6,0,0,2021
7019,Charvensod,2377,12,15,-3,97,100,-3,3,10,-7,0,3,-10,2367,1113,2363,2.1,1,4,2021
7020,Châtillon,4450,23,62,-39,126,149,-23,12,15,-3,0,17,-48,4402,2160,4356,2,7,46,2021
7021,Cogne,1343,3,24,-21,34,28,6,6,3,3,0,-16,-28,1315,704,1310,1.9,1,5,2021
7022,Courmayeur,2734,8,30,-22,83,132,-49,10,9,1,0,-49,-119,2615,1371,2614,1.9,1,1,2021
7023,Donnas,2405,8,49,-41,82,69,13,9,12,-3,0,15,-16,2389,1150,2371,2.1,2,18,2021
7024,Doues,497,5,6,-1,15,11,4,1,0,1,0,1,5,502,255,492,1.9,1,10,2021
7025,Emarèse,220,3,2,1,5,6,-1,0,0,0,0,0,0,220,106,213,2,1,7,2021
7026,Etroubles,483,3,5,-2,20,30,-10,2,2,0,0,1,-11,472,246,472,1.9,0,0,2021
7027,Fénis,1778,15,17,-2,80,66,14,11,12,-1,0,-1,10,1788,857,1782,2.1,2,6,2021
7028,Fontainemore,433,3,8,-5,11,13,-2,3,4,-1,0,0,-8,425,224,425,1.9,0,0,2021
7029,Gaby,437,3,10,-7,24,28,-4,3,3,0,0,-2,-13,424,234,420,1.8,1,4,2021
7030,Gignod,1739,10,19,-9,88,115,-27,10,6,4,0,-8,-40,1699,800,1691,2.1,3,8,2021
7031,Gressan,3380,24,35,-11,136,114,22,13,9,4,0,-5,10,3390,1596,3377,2.1,1,13,2021
7032,Gressoney-La-Trinité,322,4,0,4,20,15,5,1,0,1,0,0,10,332,148,332,2.2,0,0,2021
7033,Gressoney-Saint-Jean,804,0,13,-13,24,21,3,5,2,3,0,2,-5,799,396,792,2,2,7,2021
7034,Hône,1154,11,18,-7,27,32,-5,9,5,4,0,2,-6,1148,561,1136,2,2,12,2021
7035,Introd,646,3,6,-3,21,17,4,1,6,-5,0,0,-4,642,304,636,2.1,1,6,2021
7036,Issime,393,2,8,-6,13,25,-12,3,2,1,0,2,-15,378,200,378,1.9,0,0,2021
7037,Issogne,1347,7,18,-11,23,41,-18,2,4,-2,0,7,-24,1323,667,1323,2,0,0,2021
7038,Jovençan,712,5,7,-2,42,37,5,2,2,0,0,1,4,716,340,716,2.1,0,0,2021
7039,La Magdeleine,108,1,0,1,2,3,-1,0,0,0,0,0,0,108,62,108,1.7,0,0,2021
7040,La Salle,2007,14,20,-6,85,70,15,12,2,10,0,-5,14,2021,1020,2018,2,1,3,2021
7041,La Thuile,819,6,8,-2,35,36,-1,0,3,-3,0,3,-3,816,432,811,1.9,2,5,2021
7042,Lillianes,446,1,6,-5,7,17,-10,2,1,1,0,0,-14,432,221,432,2,0,0,2021
7043,Montjovet,1749,9,13,-4,56,46,10,2,3,-1,0,12,17,1766,829,1762,2.1,2,4,2021
7044,Morgex,2097,16,19,-3,71,108,-37,5,14,-9,0,10,-39,2058,984,2051,2.1,2,7,2021
7045,Nus,2984,17,22,-5,144,139,5,7,5,2,0,2,4,2988,1398,2983,2.1,2,5,2021
7046,Ollomont,161,2,1,1,3,9,-6,2,0,2,0,0,-3,158,92,158,1.7,0,0,2021
7047,Oyace,209,0,3,-3,9,8,1,2,0,2,0,0,0,209,104,209,2,0,0,2021
7048,Perloz,452,1,1,0,16,7,9,3,0,3,0,-6,6,458,228,446,2,2,12,2021
7049,Pollein,1520,14,15,-1,65,74,-9,9,3,6,0,-9,-13,1507,670,1507,2.2,0,0,2021
7050,Pontboset,170,1,3,-2,6,5,1,1,0,1,0,1,1,171,92,171,1.9,0,0,2021
7051,Pontey,798,5,11,-6,43,40,3,4,5,-1,0,1,-3,795,367,784,2.1,1,11,2021
7052,Pont-Saint-Martin,3571,24,50,-26,116,112,4,14,15,-1,0,5,-18,3553,1685,3550,2.1,1,3,2021
7053,Pré-Saint-Didier,996,6,14,-8,54,68,-14,10,5,5,0,-2,-19,977,491,977,2,0,0,2021
7054,Quart,4101,28,37,-9,175,181,-6,12,10,2,0,1,-12,4089,1881,4079,2.2,2,10,2021
7055,Rhêmes-Notre-Dame,83,1,1,0,3,6,-3,1,0,1,0,0,-2,81,44,78,1.8,1,3,2021
7056,Rhêmes-Saint-Georges,172,0,4,-4,2,2,0,0,1,-1,0,0,-5,167,83,167,2,0,0,2021
7057,Roisan,1015,8,8,0,29,39,-10,1,5,-4,0,4,-10,1005,454,995,2.2,1,10,2021
7058,Saint-Christophe,3471,24,26,-2,170,141,29,3,11,-8,0,-6,13,3484,1610,3446,2.1,3,38,2021
7059,Saint-Denis,366,6,4,2,11,8,3,0,1,-1,0,1,5,371,179,371,2.1,0,0,2021
7060,Saint-Marcel,1311,11,9,2,53,54,-1,4,5,-1,0,1,1,1312,594,1310,2.2,1,2,2021
7061,Saint-Nicolas,320,2,2,0,11,13,-2,2,0,2,0,1,1,321,163,321,2,0,0,2021
7062,Saint-Oyen,194,1,3,-2,14,8,6,1,0,1,0,-1,4,198,92,180,2,1,18,2021
7063,Saint-Pierre,3220,26,36,-10,144,133,11,23,7,16,0,3,20,3240,1538,3219,2.1,3,21,2021
7064,Saint-Rhémy-en-Bosses,333,3,5,-2,15,17,-2,1,0,1,0,0,-3,330,177,301,1.7,3,29,2021
7065,Saint-Vincent,4465,19,59,-40,172,140,32,21,25,-4,0,-2,-14,4451,2374,4436,1.9,1,15,2021
7066,Sarre,4793,28,50,-22,228,252,-24,27,21,6,0,2,-38,4755,2232,4719,2.1,6,36,2021
7067,Torgnon,555,1,6,-5,23,18,5,2,1,1,0,0,1,556,287,556,1.9,0,0,2021
7068,Valgrisenche,192,0,3,-3,6,2,4,0,0,0,0,-1,0,192,111,192,1.7,0,0,2021
7069,Valpelline,594,4,7,-3,18,19,-1,4,3,1,0,0,-3,591,302,590,2,1,1,2021
7070,Valsavarenche,168,0,3,-3,7,5,2,0,1,-1,0,0,-2,166,106,166,1.6,0,0,2021
7071,Valtournenche,2273,12,17,-5,52,83,-31,18,9,9,0,-48,-75,2198,1184,2181,1.8,4,17,2021
