comune_key,date,assigned_model,beta_mixed,beta_gamm,beta_prophet,model_beta
charvensod,2025-04-01,Mixed,0.06050116020222446,0.16072874271589027,NA,0.06050116020222446
charvensod,2025-05-01,Mixed,0.06050116020222446,0.1662746942981786,NA,0.06050116020222446
charvensod,2025-06-01,Mixed,0.06050116020222446,0.16466725890251063,NA,0.06050116020222446
charvensod,2025-07-01,Mixed,0.06050116020222446,0.16958681715921634,NA,0.06050116020222446
charvensod,2025-08-01,Mixed,0.06050116020222446,0.16993922052204796,NA,0.06050116020222446
charvensod,2025-09-01,Mixed,0.06050116020222446,0.16838084961139327,NA,0.06050116020222446
chatillon,2025-01-01,GAMM,0.1369485701905278,0.19240959337426278,NA,0.19240959337426278
chatillon,2025-02-01,GAMM,0.1369485701905278,0.18998954813816313,NA,0.18998954813816313
chatillon,2025-03-01,GAMM,0.1369485701905278,0.20334685924628776,NA,0.20334685924628776
chatillon,2025-04-01,GAMM,0.1369485701905278,0.20550721309819633,NA,0.20550721309819633
chatillon,2025-05-01,GAMM,0.1369485701905278,0.190890291036643,NA,0.190890291036643
chatillon,2025-06-01,GAMM,0.1369485701905278,0.19443980245316392,NA,0.19443980245316392
chatillon,2025-07-01,GAMM,0.1369485701905278,0.17498464724214624,NA,0.17498464724214624
chatillon,2025-08-01,GAMM,0.1369485701905278,0.1739554209034146,NA,0.1739554209034146
cogne,2025-01-01,GAMM,0.09980725294921869,0.18160072001535293,NA,0.18160072001535293
cogne,2025-02-01,GAMM,0.09980725294921869,0.18196253040924035,NA,0.18196253040924035
cogne,2025-03-01,GAMM,0.09980725294921869,0.1878266940067599,NA,0.1878266940067599
cogne,2025-04-01,GAMM,0.09980725294921869,0.18240957523447282,NA,0.18240957523447282
cogne,2025-05-01,GAMM,0.09980725294921869,0.19139189895766187,NA,0.19139189895766187
cogne,2025-06-01,GAMM,0.09980725294921869,0.1791354252840236,NA,0.1791354252840236
cogne,2025-07-01,GAMM,0.09980725294921869,0.1713454021282727,NA,0.1713454021282727
