"comune_key","n_obs","n_tourism_upper_90","n_energy_upper_90","n_joint_upper_90","share_joint_upper_90","p_energy_given_tourism_upper_90","lift_upper_90","mean_joint_severity_90","kendall_tau","n_tourism_upper_95","n_energy_upper_95","n_joint_upper_95","share_joint_upper_95","p_energy_given_tourism_upper_95","lift_upper_95","mean_joint_severity_95","risk_score","comune_nome","istat_muni_code","mean_arrivi","mean_residenti","mean_kwh","arrivi_per_residente","tourism_intensity_rank","risk_rank"
"nus",81,0,2,0,0,NA,NA,NA,-0.0549382716049383,0,1,0,0,NA,NA,NA,0,"Nus","7045",703.537634408602,2973.64516129032,276805.935483871,0.236590983876275,48,55
"saint denis",78,0,3,0,0,NA,NA,NA,-0.0569430569430569,0,2,0,0,NA,NA,NA,0,"Saint-Denis","7059",18.9247311827957,371.41935483871,38622.3333333333,0.0509524636674194,69,56
"saint marcel",81,0,14,0,0,NA,NA,NA,-0.0635802469135802,0,3,0,0,NA,NA,NA,0,"Saint-Marcel","7060",49.8602150537634,1332.51612903226,306671.365591398,0.037418094961428,72,57
"verres",81,0,20,0,0,NA,NA,NA,-0.0666666666666667,0,14,0,0,NA,NA,NA,0,"Verrès","7073",195.741935483871,2587.32258064516,549413.258064516,0.0756542446419888,66,58
"introd",81,1,1,0,0,0,0,NA,-0.0691358024691358,0,0,0,0,NA,NA,NA,0,"Introd","7035",348.193548387097,650.838709677419,90379.5913978495,0.534992069785884,34,59
"challand saint victor",81,0,4,0,0,NA,NA,NA,-0.0697530864197531,0,3,0,0,NA,NA,NA,0,"Challand-Saint-Victor","7014",61.2258064516129,551.774193548387,65864.9032258065,0.110961707103186,60,60
"allein",78,0,14,0,0,NA,NA,NA,-0.0749250749250749,0,8,0,0,NA,NA,NA,0,"Allein","7001",23.6881720430108,211.096774193548,3508.0752688172,0.112214751426243,58,61
"fontainemore",81,0,4,0,0,NA,NA,NA,-0.0895061728395062,0,2,0,0,NA,NA,NA,0,"Fontainemore","7028",145.440860215054,428.290322580645,59134.0967741935,0.339584745549948,40,62
"doues",81,0,21,0,0,NA,NA,NA,-0.0907407407407407,0,9,0,0,NA,NA,NA,0,"Doues","7024",176.849462365591,507.903225806452,7335.82795698925,0.348195194241558,39,63
"roisan",81,0,2,0,0,NA,NA,NA,-0.0950617283950617,0,0,0,0,NA,NA,NA,0,"Roisan","7057",66.8709677419355,1013.70967741935,108009.88172043,0.0659665871121718,68,64
"hone",81,0,6,0,0,NA,NA,NA,-0.102469135802469,0,1,0,0,NA,NA,NA,0,"Hône","7034",98.0322580645161,1153.41935483871,148024.752688172,0.08499272849312,64,65
"champdepraz",81,0,2,0,0,NA,NA,NA,-0.108024691358025,0,1,0,0,NA,NA,NA,0,"Champdepraz","7017",217.666666666667,718.516129032258,85900.5913978495,0.302939151776361,43,66
"verrayes",81,0,8,0,0,NA,NA,NA,-0.112345679012346,0,4,0,0,NA,NA,NA,0,"Verrayes","7072",301.290322580645,1284.83870967742,185122.731182796,0.234496610595029,50,67
"arvier",81,1,0,0,0,0,0,NA,-0.122839506172839,0,0,0,0,NA,NA,NA,0,"Arvier","7005",661.903225806452,852.129032258065,118319.086021505,0.776764082374319,26,68
"villeneuve",81,0,4,0,0,NA,NA,NA,-0.128395061728395,0,2,0,0,NA,NA,NA,0,"Villeneuve","7074",281.612903225806,1272.51612903226,191218.053763441,0.221303995132833,51,69
"lillianes",81,0,3,0,0,NA,NA,NA,-0.13641975308642,0,0,0,0,NA,NA,NA,0,"Lillianes","7042",137.387096774194,441.129032258065,45056.2043010753,0.311444241316271,42,70
"pontey",81,0,11,0,0,NA,NA,NA,-0.15679012345679,0,3,0,0,NA,NA,NA,0,"Pontey","7051",56.1182795698925,800.709677419355,98854.935483871,0.0700856766846615,67,71
"issime",81,0,5,0,0,NA,NA,NA,-0.194444444444444,0,0,0,0,NA,NA,NA,0,"Issime","7036",39.3870967741936,390.774193548387,67477.3870967742,0.100792471520555,62,72
"avise",81,0,13,0,0,NA,NA,NA,-0.214197530864197,0,8,0,0,NA,NA,NA,0,"Avise","7006",53.3440860215054,301.903225806452,81791.0860215054,0.176692666595434,53,73
