rep,date,arrivals,comune_key,comune_nome,share,arrivals_comune,totale_arrivi,tourism_multiplier
20,2025-06-01,127106.002204705,roisan,Roisan,0.00120363982400575,152.989846123746,163,0.9385880130291165
20,2025-06-01,127106.002204705,saint christophe,Saint-Christophe,0.00465986569177972,592.296898892985,699,0.8473489254549142
20,2025-06-01,127106.002204705,saint marcel,Saint-Marcel,7.90882296068e-4,100.525886867682,112,0.8975525613185893
20,2025-06-01,127106.002204705,saint nicolas,Saint-Nicolas,0.00251572908469344,319.764266585485,355,0.9007444129168592
20,2025-06-01,127106.002204705,saint oyen,Saint-Oyen,0.00211602749691683,268.959795688328,280,0.9605706988868856
20,2025-06-01,127106.002204705,saint pierre,Saint-Pierre,0.00691374755532094,878.778812009399,997,0.8814230812531585
20,2025-06-01,127106.002204705,saint rhemy en bosses,Saint-Rhémy-en-Bosses,0.00339833739000688,431.949079786547,459,0.9410655333040239
20,2025-06-01,127106.002204705,saint vincent,Saint-Vincent,0.0396912930440365,5045.00158116292,5906,0.8542163191945343
20,2025-06-01,127106.002204705,sarre,Sarre,0.0248967198456292,3164.52252758848,3403,0.9299214009957332
20,2025-06-01,127106.002204705,torgnon,Torgnon,0.00791889977955049,1006.53969283839,1124,0.8954979473651157
20,2025-06-01,127106.002204705,valsavarenche,Valsavarenche,0.0353915237865889,4498.47510044605,4160,1.081364206837993
20,2025-06-01,127106.002204705,valtournenche,Valtournenche,0.0401084762764757,5098.0280740251,5958,0.8556609724781974
20,2025-06-01,127106.002204705,verrayes,Verrayes,0.00299311909267698,380.443401992746,444,0.8568545089926711
20,2025-06-01,127106.002204705,verres,Verrès,0.00149525009451109,190.055261809512,211,0.9007358379597724
20,2025-06-01,127106.002204705,villeneuve,Villeneuve,0.00238542379208941,303.201681776473,356,0.8516901173496432
20,2025-07-01,215555.032087515,antey saint andre,Antey-Saint-André,0.0107863422939002,2325.05035926857,2840,0.8186797039678063
20,2025-07-01,215555.032087515,aosta,Aosta,0.0701464763391979,15120.4259581219,19234,0.7861300799689039
20,2025-07-01,215555.032087515,arnad,Arnad,0.00210765104734554,454.314789139852,550,0.8260268893451854
20,2025-07-01,215555.032087515,arvier,Arvier,0.0101638053079445,2190.85937928523,2538,0.8632227656758195
20,2025-07-01,215555.032087515,ayas,Ayas,0.0459646035682538,9907.90159704484,12017,0.8244904382994791
20,2025-07-01,215555.032087515,aymavilles,Aymavilles,0.00414273469070814,892.987309185654,1083,0.824549685305313
20,2025-07-01,215555.032087515,bard,Bard,0.00434720649140654,937.062234746189,1161,0.8071164812628674
20,2025-07-01,215555.032087515,brissogne,Brissogne,2.5599878709666e-4,55.1818267669861,70,0.7883118109569442
20,2025-07-01,215555.032087515,brusson,Brusson,0.018207829474105,3924.78926653469,4777,0.8216012699465542
20,2025-07-01,215555.032087515,challand saint anselme,Challand-Saint-Anselme,0.00340803875875761,734.619903999491,863,0.8512397497097232
20,2025-07-01,215555.032087515,challand saint victor,Challand-Saint-Victor,2.3082335917473e-4,49.7551365934583,62,0.8025022031202952
20,2025-07-01,215555.032087515,chambave,Chambave,8.3321755397569e-4,179.604236583111,224,0.8018046276031742
20,2025-07-01,215555.032087515,chamois,Chamois,0.00236963947426189,510.787712910364,592,0.8628170826188581
20,2025-07-01,215555.032087515,champdepraz,Champdepraz,0.00162047670634917,349.301908434166,417,0.8376544566766572
20,2025-07-01,215555.032087515,champorcher,Champorcher,0.00623327548433205,1343.61389703551,1602,0.8387102977749751
20,2025-07-01,215555.032087515,charvensod,Charvensod,0.0104508450192089,2252.73223345722,2819,0.7991245950539979
20,2025-07-01,215555.032087515,chatillon,Châtillon,0.0138466626786247,2984.71781799593,3715,0.803423369581677
20,2025-07-01,215555.032087515,cogne,Cogne,0.0460224091756315,9920.36188659798,12028,0.824772355054704
20,2025-07-01,215555.032087515,courmayeur,Courmayeur,0.224486880858129,48389.2768066001,57689,0.8387955555929224
20,2025-07-01,215555.032087515,donnas,Donnas,0.00180520056050406,389.120064743852,455,0.8552089335029714
20,2025-07-01,215555.032087515,emarese,Emarèse,2.0844728189752e-4,44.9318605379766,54,0.832071491444011
20,2025-07-01,215555.032087515,etroubles,Etroubles,0.0131400847831577,2832.41139706622,3249,0.8717794389246599
20,2025-07-01,215555.032087515,fenis,Fénis,0.00433162922824003,933.704477284495,1149,0.8126235659569148
20,2025-07-01,215555.032087515,fontainemore,Fontainemore,0.00230281836761141,496.384087122196,548,0.9058103779602117
20,2025-07-01,215555.032087515,gaby,Gaby,0.00477638703742275,1029.57426111405,1238,0.8316431834523829
20,2025-07-01,215555.032087515,gignod,Gignod,0.00707212698137659,1524.43255839761,1852,0.8231277313162041
20,2025-07-01,215555.032087515,gressan,Gressan,0.0224492675590158,4839.05258902486,5982,0.808935571552133
20,2025-07-01,215555.032087515,gressoney la trinite,Gressoney-La-Trinité,0.0720018370621048,15520.358298282,17430,0.8904393745428572
20,2025-07-01,215555.032087515,gressoney saint jean,Gressoney-Saint-Jean,0.0185660435517826,4002.0041135427,4918,0.8137462613954249
20,2025-07-01,215555.032087515,hone,Hône,7.1973076184157e-4,155.141587463132,183,0.8477682375034535
20,2025-07-01,215555.032087515,introd,Introd,0.00426769367157445,919.922846315913,1109,0.8295066242704355
20,2025-07-01,215555.032087515,issime,Issime,3.0959752270796e-4,66.7353039415309,85,0.7851212228415401
20,2025-07-01,215555.032087515,issogne,Issogne,3.4256220200834e-4,73.8410064458776,89,0.8296742297289618
20,2025-07-01,215555.032087515,jovencan,Jovençan,0.00256387962621806,552.657155097959,710,0.7783903592929
