comune_key,date,arrivals_actual,arrivals_q95,arrivals_multiplier_q95
chamois,2025-05-01,6.999999999999998,9.37395882452848,1.3391369749326403
chamois,2025-06-01,162,219.168116062127,1.3528896053217716
chamois,2025-07-01,592.0000000000002,983.025442998628,1.6605159510111953
chamois,2025-08-01,635.9999999999999,1048.70436513911,1.6489062344954564
chamois,2025-09-01,135.00000000000006,350.540154622972,2.5965937379479396
champdepraz,2025-01-01,244.0000000000001,308.077235543694,1.2626116210807123
champdepraz,2025-02-01,292.0000000000001,463.401403118413,1.586991106569907
champdepraz,2025-03-01,303.00000000000006,427.115998791713,1.4096237583884916
champdepraz,2025-04-01,294.0000000000001,433.818059899536,1.4755716323113464
champdepraz,2025-05-01,89,122.193182451469,1.3729571061962809
champdepraz,2025-06-01,373.0000000000001,483.122947944194,1.2952357853731737
champdepraz,2025-07-01,417,672.241431420297,1.6120897635978344
champdepraz,2025-08-01,484.00000000000006,820.01820420875,1.6942524880346073
champdepraz,2025-09-01,425.00000000000017,1026.13595745187,2.4144375469455754
champorcher,2025-01-01,352.99999999999994,444.296011588577,1.2586289280129663
champorcher,2025-02-01,381.9999999999999,607.31350890151,1.5898259395327492
champorcher,2025-03-01,323.99999999999994,451.878449598629,1.3946865728352749
champorcher,2025-04-01,82.00000000000003,117.780986227484,1.4363534905790727
champorcher,2025-05-01,114.00000000000001,154.667033621661,1.3567283651022894
champorcher,2025-06-01,586.0000000000002,762.309005777555,1.300868610541902
champorcher,2025-07-01,1601.9999999999993,2585.8230591076,1.6141217597425723
champorcher,2025-08-01,1223.9999999999995,2060.75918645729,1.6836267863213161
champorcher,2025-09-01,335,804.581778226914,2.401736651423624
charvensod,2025-01-01,1901.9999999999993,2473.55312590514,1.3005011177208943
charvensod,2025-02-01,1810.999999999999,2837.57659058456,1.566856206838521
charvensod,2025-03-01,1583.9999999999998,2283.9255720306,1.441872204564773
charvensod,2025-04-01,1545.9999999999998,2465.35043027857,1.5946639264415075
charvensod,2025-05-01,2018.9999999999993,2785.74601852819,1.3797652394889504
charvensod,2025-06-01,1841.9999999999995,2259.39106240282,1.2265966679711295
charvensod,2025-07-01,2818.9999999999986,4335.44708648891,1.5379379519293763
charvensod,2025-08-01,3560.000000000002,6022.5943242875,1.691739978732443
charvensod,2025-09-01,2380.9999999999995,5608.37140862799,2.3554688822461114
chatillon,2025-01-01,2788,3681.59558925001,1.3205149172345805
chatillon,2025-02-01,2900.0000000000005,4728.42450313256,1.6304912079767446
chatillon,2025-03-01,2330.0000000000005,3453.43500999036,1.4821609484937164
chatillon,2025-04-01,2244.000000000001,3414.79192039367,1.5217432800328292
