comune_key,performance_metric,Prophet,GAMM,Mixed
morgex,delta_from_best_RMSE,75659.1881951791,32969.7994348257,0
morgex,underperform_flag,high_gap,ok,ok
nus,n_obs,9,9,9
nus,MAE_kwh,22777.8106678161,23149.5158543544,23647.983409278
nus,RMSE_kwh,41856.9499689595,39412.6452021466,35871.8437585344
nus,Bias_kwh,8236.36411552538,23149.5158543544,-1310.0729617406
nus,MAPE_pct,10.9960573237065,11.2481826381042,10.6148127776853
nus,delta_from_best_RMSE,5985.10621042505,3540.80144361219,0
nus,underperform_flag,high_gap,ok,ok
ollomont,n_obs,9,9,9
ollomont,MAE_kwh,3342.14863077563,4257.0172144811,2690.19462947517
ollomont,RMSE_kwh,4696.84892952675,5830.68781500663,4964.41385129056
ollomont,Bias_kwh,1535.1390072156,4067.73638332393,1128.10248218924
ollomont,MAPE_pct,11.1290168122674,14.6325975841231,10.2644147535336
ollomont,delta_from_best_RMSE,0,1133.83888547987,267.564921763804
ollomont,underperform_flag,ok,high_gap,ok
oyace,n_obs,9,9,9
oyace,MAE_kwh,1890.88163889979,2243.24497707241,1739.60235128579
oyace,RMSE_kwh,2471.7323189303,3104.15744476588,2629.80288620045
oyace,Bias_kwh,-800.439528557953,1910.20538580962,893.91916872118
oyace,MAPE_pct,7.92582617038215,10.2622301153894,7.94843597136618
oyace,delta_from_best_RMSE,0,632.425125835582,158.070567270155
oyace,underperform_flag,ok,high_gap,ok
perloz,n_obs,9,9,9
perloz,MAE_kwh,9957.74079540845,6543.16793165922,7504.58779955767
perloz,RMSE_kwh,13871.4233361227,8131.53846651009,8952.95994578676
perloz,Bias_kwh,9914.02004563788,-3280.34215816311,-4789.63994813564
perloz,MAPE_pct,14.2410743419632,8.18802795324942,9.08986584300268
perloz,delta_from_best_RMSE,5739.88486961257,0,821.421479276672
perloz,underperform_flag,high_gap,ok,ok
pollein,n_obs,9,9,9
pollein,MAE_kwh,28316.9401238133,25612.499124433,40299.3893877811
pollein,RMSE_kwh,33670.4521600463,29893.8217420842,47178.3991114582
pollein,Bias_kwh,-18594.0003868605,1947.68355218428,-36690.8071476187
pollein,MAPE_pct,6.61294223731012,6.20652094240684,8.95300326087866
pollein,delta_from_best_RMSE,3776.63041796204,0,17284.5773693739
pollein,underperform_flag,ok,ok,high_gap
pont saint martin,n_obs,9,9,9
pont saint martin,MAE_kwh,435227.623800531,493792.814025026,514142.765017849
pont saint martin,RMSE_kwh,438310.964521117,495702.449741909,516021.220888223
pont saint martin,Bias_kwh,435227.623800531,493792.814025026,514142.765017849
pont saint martin,MAPE_pct,59.6309359948759,67.6540283672579,70.3640393028447
pont saint martin,delta_from_best_RMSE,0,57391.4852207921,77710.2563671059
pont saint martin,underperform_flag,ok,ok,high_gap
pontboset,n_obs,9,9,9
pontboset,MAE_kwh,2592.95561198321,1232.93325122247,1736.19972717683
pontboset,RMSE_kwh,3591.1398771474,2173.59664063524,2380.93327248362
pontboset,Bias_kwh,2592.95561198321,750.466919152666,-499.084576591976
pontboset,MAPE_pct,13.9791128686358,7.14049521891987,8.80500791917488
pontboset,delta_from_best_RMSE,1417.54323651215,0,207.33663184837
pontboset,underperform_flag,high_gap,ok,ok
pontey,n_obs,9,9,9
pontey,MAE_kwh,12259.8249878392,20035.2533918364,20925.8287246404
pontey,RMSE_kwh,14151.1383099448,23145.0635330163,23781.0276597117
pontey,Bias_kwh,-5635.21708795538,-20035.2533918364,-20925.8287246404
pontey,MAPE_pct,10.4053664920066,16.9830557978467,17.7247476289247
