year_month,year,month,month_label,parameter,mean_value,median_value,sd_value,n_stations_with_data
2024-09-01,2024,9,Sep,temperatura,12.51125,12.786666666666669,3.8909708004354484,8
2024-09-01,2024,9,Sep,umidit_relativa,68.87010989010989,70.17333333333333,5.536028261889537,7
2024-10-01,2024,10,Oct,precipitazione,5.987096774193549,5.690322580645161,1.764163240449273,7
2024-10-01,2024,10,Oct,pressione,870.9201612903225,853.8758064516129,56.7726509672524,4
2024-10-01,2024,10,Oct,temperatura,9.95,10.204838709677418,3.130332287302452,8
2024-10-01,2024,10,Oct,umidit_relativa,83.04733377221856,84.03928571428571,3.2003628287555705,7
2024-11-01,2024,11,Nov,precipitazione,1.7982539682539682,1.6444444444444442,0.632650007307383,7
2024-11-01,2024,11,Nov,pressione,872.5466666666666,855.3333333333333,57.86363151282385,4
2024-11-01,2024,11,Nov,temperatura,3.67625,3.1099999999999994,1.922602764194645,8
2024-11-01,2024,11,Nov,umidit_relativa,65.72264367816092,66.57000000000001,8.025841899468876,7
2024-12-01,2024,12,Dec,precipitazione,0.6760539341184503,0.6516129032258066,0.4018619047554093,7
2024-12-01,2024,12,Dec,pressione,872.0346774193548,854.6790322580646,58.333998333754685,4
2024-12-01,2024,12,Dec,temperatura,1.3778225806451614,1.2016129032258065,2.2067213820990563,8
