"comune_key","comune_nome","date","q05","q50","q95","scale_factor"
"issime","Issime",2025-02-01,83.6571832336345,329.793019485811,1274.92322548653,3.01425863985616
"issime","Issime",2025-03-01,85.6992852414397,339.234310169623,1312.77645660159,3.57762181342539
"issime","Issime",2025-04-01,48.7578181489118,192.293012525339,743.449844845996,1.78501399459999
"issime","Issime",2025-05-01,34.1628701498377,134.648635672072,520.501153998038,1.22103135018847
"issime","Issime",2025-06-01,99.0059919802347,384.254885512417,1479.57424091638,1.43827193394973
"issime","Issime",2025-07-01,178.301087805885,688.937768425209,2649.71746834182,1.50863863080624
"issime","Issime",2025-08-01,150.545446642149,582.017708753115,2238.8161424226,1.38823215487078
"issime","Issime",2025-09-01,69.6761117118529,272.337863803913,1050.53313361823,1.6868662838857
"issogne","Issogne",2025-01-01,31.6128780354409,127.32607225071,494.85252570458,2.09046510739047
"issogne","Issogne",2025-02-01,79.1657966059679,312.546667905027,1208.69943592991,3.01425863985616
"issogne","Issogne",2025-03-01,124.485976722476,488.170256546811,1884.67148750707,3.57762181342539
"issogne","Issogne",2025-04-01,84.2021578526061,328.394754538194,1266.06316854696,1.78501399459999
"issogne","Issogne",2025-05-01,84.5727919375536,328.216303384185,1263.77630013479,1.22103135018847
"issogne","Issogne",2025-06-01,178.863444756479,690.897314921912,2657.04204442398,1.43827193394973
"issogne","Issogne",2025-07-01,379.006170292841,1459.61967661326,5609.03766217386,1.50863863080624
"issogne","Issogne",2025-08-01,398.00837125273,1532.24376472293,5887.56295516172,1.38823215487078
"issogne","Issogne",2025-09-01,172.199154893316,666.013268398967,2562.19645704073,1.6868662838857
"jovencan","Jovençan",2025-01-01,674.949624074462,2597.65709178065,9980.60844377505,2.09046510739047
"jovencan","Jovençan",2025-02-01,1078.41638389078,4149.54142570713,15942.2697322509,3.01425863985616
"jovencan","Jovençan",2025-03-01,1223.89181881814,4709.74841371403,18094.9929672437,3.57762181342539
"jovencan","Jovençan",2025-04-01,659.981873584062,2539.31539749067,9755.71633950591,1.78501399459999
"jovencan","Jovençan",2025-05-01,589.199490798188,2265.91844017898,8704.30526821472,1.22103135018847
"jovencan","Jovençan",2025-06-01,1430.69627277366,5497.77564941262,21114.8415248824,1.43827193394973
"jovencan","Jovençan",2025-07-01,2668.61662958836,10251.4317020604,39368.4740662949,1.50863863080624
"jovencan","Jovençan",2025-08-01,2474.56925712837,9505.97261187017,36505.664336291,1.38823215487078
"jovencan","Jovençan",2025-09-01,978.664186909029,3762.73609205341,14453.2169797452,1.6868662838857
"la magdeleine","La Magdeleine",2025-01-01,48.3322868128931,191.526468676747,741.373856459931,2.09046510739047
"la magdeleine","La Magdeleine",2025-02-01,57.6692968611627,230.002851687682,891.741713667736,3.01425863985616
"la magdeleine","La Magdeleine",2025-03-01,48.9054635364475,197.950729456229,770.265533456858,3.57762181342539
"la magdeleine","La Magdeleine",2025-04-01,15.2272682584526,63.5399792091388,249.054624896461,1.78501399459999
"la magdeleine","La Magdeleine",2025-05-01,13.5256553317292,55.4043639345085,216.213261539475,1.22103135018847
"la magdeleine","La Magdeleine",2025-06-01,46.6816662271723,183.336150837903,708.071935588631,1.43827193394973
"la magdeleine","La Magdeleine",2025-07-01,93.4650107535167,363.178057032965,1398.84174125166,1.50863863080624
"la magdeleine","La Magdeleine",2025-08-01,81.4507265343657,316.702799541254,1220.04074337198,1.38823215487078
"la magdeleine","La Magdeleine",2025-09-01,38.0621777215255,150.944390997464,584.397686997799,1.6868662838857
"la salle","La Salle",2025-01-01,707.105458874375,2721.13139455316,10454.7340119658,2.09046510739047
"la salle","La Salle",2025-02-01,440.513087088761,1700.07415797723,6536.62795902407,3.01425863985616
"la salle","La Salle",2025-03-01,256.616364975852,995.534088528283,3832.88386624688,3.57762181342539
"la salle","La Salle",2025-04-01,110.56718554354,429.633096878627,1654.80548583129,1.78501399459999
"la salle","La Salle",2025-05-01,78.1258639885408,303.460922642798,1168.71879670095,1.22103135018847
"la salle","La Salle",2025-06-01,227.039414731065,875.8868927082,3367.37841974972,1.43827193394973
"la salle","La Salle",2025-07-01,410.98680442597,1582.4212311797,6080.57996309128,1.50863863080624
"la salle","La Salle",2025-08-01,354.648153786975,1365.74606211429,5248.23302108446,1.38823215487078
"la salle","La Salle",2025-09-01,148.143740371278,573.643545936636,2207.50850851458,1.6868662838857
"la thuile","La Thuile",2025-01-01,1245.01572629706,4786.63818787616,18386.0165541357,2.09046510739047
"la thuile","La Thuile",2025-02-01,645.293673451743,2486.40548104349,9556.03990923276,3.01425863985616
