"model","comune_key","comune_nome","n_obs","actual_total","pred_total","mae","rmse","bias","mape","coverage_90","total_rel_error"
"multilevel","pollein","Pollein",9,28775,23276.6109385005,1190.70966951077,1296.46990022154,-610.932117944394,0.37672596811108,1,-0.191082156785388
"multilevel","pont saint martin","Pont-Saint-Martin",9,6102,18712.8158903482,1401.20176559424,1855.45742761759,1401.20176559424,1.79722376647902,0.777777777777778,2.06666927078797
"multilevel","pontboset","Pontboset",9,1991,2661.39685406861,82.993653079958,112.212797235281,74.4885393409567,0.318712800157801,1,0.336713638407137
"multilevel","pontey","Pontey",9,919,7836.70701500706,768.634112778562,1001.58169413585,768.634112778562,8.71605151505509,0.111111111111111,7.52742874320681
"multilevel","pre saint didier","Pré-Saint-Didier",9,46900,8770.18345945572,4236.6462822827,4376.06995075118,-4236.6462822827,0.821426908720732,0.111111111111111,-0.813002484873013
"multilevel","quart","Quart",9,7286,9382.76629074982,314.792323220709,451.810761910281,232.974032305536,0.323030687402603,1,0.287780166174832
"multilevel","rhemes notre dame","Rhêmes-Notre-Dame",9,8492,2703.44900584226,643.172332684194,774.239162047548,-643.172332684194,0.641160708525584,0.777777777777778,-0.681647549947921
"multilevel","rhemes saint georges","Rhêmes-Saint-Georges",9,4726,1612.52230202612,378.628266731476,636.022807350886,-345.941966441542,0.741570992618045,0.777777777777778,-0.658797650862013
"multilevel","roisan","Roisan",9,1305,8146.51059218488,760.167843576097,990.732466752806,760.167843576097,4.65254093756011,0.111111111111111,5.24253685224895
"multilevel","saint christophe","Saint-Christophe",9,7085,19098.6314568647,1334.84793965164,1853.23147695776,1334.84793965164,1.50151278749952,0.777777777777778,1.6956431131778
"multilevel","saint denis","Saint-Denis",9,401,10213.5148224469,1090.27942471633,1553.39260329761,1090.27942471633,38.3441262194286,0,24.4701117766756
"multilevel","saint marcel","Saint-Marcel",9,1071,1673.59765576817,68.9227976189764,104.446474672616,66.9552950853523,0.49788391697031,1,0.562649538532372
"multilevel","saint nicolas","Saint-Nicolas",9,3251,4196.38724652054,233.20592039465,318.407423005482,105.043027391171,0.62455254871607,1,0.290798906958026
"multilevel","saint oyen","Saint-Oyen",9,3658,1985.85877198806,185.793469779104,255.812974956701,-185.793469779104,0.427897753678701,0.888888888888889,-0.45711897977363
